Age,Name,Country,Sex,Date of Birth,Height cm,Weight kg,Medal winner,Gold,Silver,Bronze,Total,Sport,Number of events,Event,BMI,BMI classification
36,Luis Scola,Argentina,M,4/30/1980,204,108,No,0,0,0,0,Basketball,1,Basketball Men,25.95155709,Overweight
44,Peder Fredricson,Sweden,M,1/30/1972,189,80,Yes,0,1,0,1,Equestrian,2,"Equestrian Jumping Individual
,Equestrian Jumping Team",22.39578959,Normal
21,Corey Main,New Zealand,M,2/27/1995,192,85,No,0,0,0,0,Aquatics,2,"Swimming Men's 100m Backstroke
,Swimming Men's 200m Backstroke",23.05772569,Normal
25,Joe Kayes,Australia,M,1/03/1991,198,125,No,0,0,0,0,Aquatics,1,Water Polo Men,31.88450158,Obese
28,Ibrahim Ramadan Ibrahim Abdelbaki,Egypt,M,2/06/1988,173,77,No,0,0,0,0,Weightlifting,1,Weightlifting Men's 77kg,25.72755521,Overweight
26,Fabian Drzyzga,Poland,M,1/03/1990,196,90,No,0,0,0,0,Volleyball,1,Volleyball Men,23.42773844,Normal
30,Vadzim Straltsou,Belarus,M,4/30/1986,170,94,Yes,0,1,0,1,Weightlifting,1,Weightlifting Men's 94kg,32.52595156,Obese
14,Yanhan Ai,China,F,2/07/2002,168,54,No,0,0,0,0,Aquatics,2,"Swimming Women's 200m Freestyle
,Swimming Women's 4 x 200m Freestyle Relay",19.13265306,Normal
22,Allans Vargas,Honduras,M,11/25/1993,184,69,No,0,0,0,0,Football,1,Football Men,20.38043478,Normal
24,Luis Ostos,Peru,M,8/09/1992,160,50,No,0,0,0,0,Athletics,1,"Athletics Men's 10,000m",19.53125,Normal
24,Qiang Wang,China,F,1/14/1992,172,60,No,0,0,0,0,Tennis,1,Tennis Women's Singles,20.2812331,Normal
43,Saif Bin Futtais,United Arab Emirates,M,11/02/1973,174,90,No,0,0,0,0,Shooting,1,Shooting Skeet Men,29.72651605,Overweight
24,Evaldas Petrauskas,Lithuania,M,3/19/1992,164,,No,0,0,0,0,Boxing,1,Boxing Men's Light Welter (64kg),,
34,Niluka Rajasekara,Sri Lanka,F,3/17/1982,155,42,No,0,0,0,0,Athletics,1,Athletics Women's Marathon,17.4817898,Underweight
26,Ekaterini Stefanidi,Greece,F,2/04/1990,173,59,Yes,1,0,0,1,Athletics,1,Athletics Women's Pole Vault,19.71332153,Normal
19,Amjed Attwan,Iraq,M,3/12/1997,180,72,No,0,0,0,0,Football,1,Football Men,22.22222222,Normal
25,Gaspar Csere,Hungary,M,8/12/1991,171,55,No,0,0,0,0,Athletics,1,Athletics Men's Marathon,18.80920625,Normal
29,null,Poland,M,4/22/1987,185,75,No,0,0,0,0,Aquatics,1,Swimming Men's 1500m Freestyle,21.9138057,Normal
31,Hyunsub Kim,South Korea,M,5/31/1985,177,61,No,0,0,0,0,Athletics,2,"Athletics Men's 20km Walk
,Athletics Men's 50km Walk",19.47077787,Normal
30,null,Mongolia,F,11/18/1986,180,80,No,0,0,0,0,Judo,1,Judo Women -78 kg,24.69135802,Normal
24,null,Mongolia,M,5/07/1992,181,102,No,0,0,0,0,Wrestling,1,Wrestling Men's Freestyle 97 kg,31.13458075,Obese
26,Arina Rodionova,Australia,F,12/15/1989,,,No,0,0,0,0,Tennis,1,Tennis Women's Doubles,,
23,Reda Benbaziz,Algeria,M,11/05/1993,185,,No,0,0,0,0,Boxing,1,Boxing Men's Light (60kg),,
32,Hassan Ndam Njikam,Cameroon,M,2/18/1984,182,,No,0,0,0,0,Boxing,1,Boxing Men's Light Heavy (81kg),,
21,Lindolfo Delgado,Mexico,M,12/31/1994,174,,No,0,0,0,0,Boxing,1,Boxing Men's Light (60kg),,
27,null,Latvia,M,4/21/1989,182,71,No,0,0,0,0,Modern Pentathlon,1,Modern Pentathlon Men's Individual,21.43460935,Normal
18,Viktoria Zeynep Gunes,Turkey,F,6/19/1998,185,66,No,0,0,0,0,Aquatics,3,"Swimming Women's 100m Breaststroke
,Swimming Women's 200m Breaststroke
,Swimming Women's 400m Individual Medley",19.28414901,Normal
26,Danny Barrett,United States,M,3/23/1990,188,102,No,0,0,0,0,Rugby Sevens,1,Rugby Sevens Men,28.85921231,Overweight
27,Giorgio Avola,Italy,M,5/08/1989,178,72,No,0,0,0,0,Fencing,2,"Fencing Men's Foil Individual
,Fencing Men's Foil Team",22.72440348,Normal
31,Pedro Ibarra,Argentina,M,11/11/1985,174,75,Yes,1,0,0,1,Hockey,1,Hockey Men,24.77209671,Normal
26,Tracy Eisser,United States,F,11/20/1989,186,83,No,0,0,0,0,Rowing,1,Rowing Women's Quadruple Sculls,23.99121286,Normal
27,Wenna He,China,F,1/19/1989,160,50,No,0,0,0,0,Gymnastics,1,Trampoline Gymnastics Women,19.53125,Normal
29,Aniuar Geduev,Russian Federation,M,1/26/1987,173,74,Yes,0,1,0,1,Wrestling,1,Wrestling Men's Freestyle 74 kg,24.72518293,Normal
19,Amber Hill,Great Britain,F,8/21/1997,158,52,No,0,0,0,0,Shooting,1,Shooting Skeet Women,20.82999519,Normal
26,Matthieu Androdias,France,M,6/11/1990,194,94,No,0,0,0,0,Rowing,1,Rowing Men's Double Sculls,24.97608673,Normal
23,Cristhian Pacheco,Peru,M,5/26/1993,162,50,No,0,0,0,0,Athletics,1,Athletics Men's Marathon,19.05197378,Normal
22,Breanna Stewart,United States,F,8/27/1994,193,79,Yes,1,0,0,1,Basketball,1,Basketball Women,21.20862305,Normal
21,Andrija Sljukic,Serbia,M,11/08/1995,196,92,No,0,0,0,0,Rowing,1,Rowing Men's Double Sculls,23.94835485,Normal
25,Tobias Franzmann,Germany,M,12/08/1990,181,73,No,0,0,0,0,Rowing,1,Rowing Lightweight Men's Four,22.28259211,Normal
25,Evelyne Tschopp,Switzerland,F,6/19/1991,162,55,No,0,0,0,0,Judo,1,Judo Women -52 kg,20.95717116,Normal
22,Lewis Ormond,New Zealand,M,2/05/1994,192,100,No,0,0,0,0,Rugby Sevens,1,Rugby Sevens Men,27.12673611,Overweight
22,Goitom Kifle,Eritrea,M,12/03/1993,,,No,0,0,0,0,Athletics,1,"Athletics Men's 10,000m",,
26,Andre,Portugal,M,1/21/1990,171,68,No,0,0,0,0,Football,1,Football Men,23.25501864,Normal
24,Ursula Gonzalez Garate,Mexico,F,11/22/1991,171,71,No,0,0,0,0,Fencing,2,"Fencing Women's Sabre Individual
,Fencing Women's Sabre Team",24.28097534,Normal
26,Ilaria Bianchi,Italy,F,1/06/1990,170,65,No,0,0,0,0,Aquatics,2,"Swimming Women's 100m Butterfly
,Swimming Women's 4 x 100m Medley Relay",22.49134948,Normal
30,Eva Vrabcova Nyvltova,Czech Republic,F,2/06/1986,162,48,No,0,0,0,0,Athletics,1,Athletics Women's Marathon,18.28989483,Underweight
21,Desiree Henry,Great Britain,F,8/26/1995,171,64,Yes,0,0,1,1,Athletics,2,"Athletics Women's 100m
,Athletics Women's 4 x 100m Relay",21.88707637,Normal
30,Laura Salles Lopez,andorra,F,2/15/1986,169,63,No,0,0,0,0,Judo,1,Judo Women -63 kg,22.05805119,Normal
23,Gordon Johnston,Canada,M,1/30/1993,187,88,No,0,0,0,0,Hockey,1,Hockey Men,25.16514627,Overweight
29,Andrew Charter,Australia,M,3/30/1987,182,87,No,0,0,0,0,Hockey,1,Hockey Men,26.26494385,Overweight
22,Afef Ben Ismail,Tunisia,F,3/17/1994,173,60,No,0,0,0,0,Canoe,1,Canoe Sprint Women's Kayak Single 500m,20.04744562,Normal
20,Raven Saunders,United States,F,5/15/1996,166,108,No,0,0,0,0,Athletics,1,Athletics Women's Shot Put,39.19291624,Obese
26,null,Belarus,M,5/29/1990,191,87,No,0,0,0,0,Athletics,1,Athletics Men's Long Jump,23.84803048,Normal
20,Volodymyr Hoza,Ukraine,M,4/15/1996,183,94,No,0,0,0,0,Weightlifting,1,Weightlifting Men's 94kg,28.06891815,Overweight
25,Natalie Powell,Great Britain,F,10/16/1990,175,77,No,0,0,0,0,Judo,1,Judo Women -78 kg,25.14285714,Overweight
32,Vid Kavticnik,Slovenia,M,5/24/1984,191,90,No,0,0,0,0,Handball,1,Handball Men,24.67037636,Normal
23,Leonie Adam,Germany,F,1/02/1993,162,54,No,0,0,0,0,Gymnastics,1,Trampoline Gymnastics Women,20.57613169,Normal
25,Hilary Caldwell,Canada,F,3/13/1991,173,61,Yes,0,0,1,1,Aquatics,1,Swimming Women's 200m Backstroke,20.38156971,Normal
23,Kasper Larsen,Denmark,M,1/25/1993,190,88,No,0,0,0,0,Football,1,Football Men,24.3767313,Normal
28,Wan Ho Son,South Korea,M,5/17/1988,176,70,No,0,0,0,0,Badminton,1,Badminton Men's Singles,22.5981405,Normal
29,null,Zimbabwe,F,6/26/1987,175,72,No,0,0,0,0,Rowing,1,Rowing Women's Single Sculls,23.51020408,Normal
28,Yifei Cao,China,M,5/20/1988,175,75,No,0,0,0,0,Shooting,2,"Shooting 10m Air Rifle Men
,Shooting 50m Rifle Prone Men",24.48979592,Normal
20,Dimitri Juliet,Netherlands,M,3/28/1996,181,80,No,0,0,0,0,Athletics,1,Athletics Men's 4 x 100m Relay,24.41927902,Normal
19,Vien Nguyen Thi Anh,Vietnam,F,11/09/1996,172,60,No,0,0,0,0,Aquatics,4,"Swimming Women's 200m Freestyle
,Swimming Women's 400m Freestyle
,Swimming Women's 200m Individual Medley
,Swimming Women's 400m Individual Medley",20.2812331,Normal
22,Dongyan Huang,China,F,12/14/1993,172,63,No,0,0,0,0,Cycling,1,Cycling Track Women's Team Pursuit,21.29529475,Normal
20,Dylan Carter,Trinidad and Tobago,M,1/30/1996,,,No,0,0,0,0,Aquatics,1,Swimming Men's 100m Freestyle,,
25,Diana Sujew,Germany,F,11/02/1990,166,53,No,0,0,0,0,Athletics,1,Athletics Women's 1500m,19.23356075,Normal
18,Keston Bledman,Trinidad and Tobago,M,3/08/1998,180,88,No,0,0,0,0,Athletics,2,"Athletics Men's 100m
,Athletics Men's 4 x 100m Relay",27.16049383,Overweight
29,Ruddy Zang Milama,Gabon,F,6/06/1987,156,53,No,0,0,0,0,Athletics,1,Athletics Women's 100m,21.77843524,Normal
29,Hari Kumar Rimal,Nepal,M,6/13/1987,166,59,No,0,0,0,0,Athletics,1,Athletics Men's 5000m,21.41094498,Normal
20,Tania Arrayales,Mexico,F,8/01/1996,158,53,No,0,0,0,0,Fencing,2,"Fencing Women's Sabre Individual
,Fencing Women's Sabre Team",21.23057202,Normal
19,Afaf Elhodhod,Egypt,F,10/01/1996,163,75,No,0,0,0,0,Shooting,2,"Shooting 10m Air Pistol Women
,Shooting 25m Pistol Women",28.22838647,Overweight
22,Miguel Alvarino Garcia,Spain,M,5/31/1994,180,84,No,0,0,0,0,Archery,2,"Archery Men's Individual
,Archery Men's Team",25.92592593,Overweight
24,Alicja Tchorz,Poland,F,8/13/1992,176,68,No,0,0,0,0,Aquatics,3,"Swimming Women's 100m Backstroke
,Swimming Women's 200m Backstroke
,Swimming Women's 4 x 100m Freestyle Relay",21.95247934,Normal
33,Balasz Sziranyi Somogyi,Spain,M,1/10/1983,196,106,No,0,0,0,0,Aquatics,1,Water Polo Men,27.59266972,Overweight
43,Shingo Katayama,Japan,M,1/31/1973,171,72,No,0,0,0,0,Golf,1,Golf Men's Individual Stroke Play,24.62296091,Normal
26,Pedro Martins,Portugal,M,2/14/1990,177,70,No,0,0,0,0,Badminton,1,Badminton Men's Singles,22.34351559,Normal
27,Jennifer Martins,Canada,F,1/31/1989,179,76,No,0,0,0,0,Rowing,1,Rowing Women's Pair,23.71960925,Normal
27,Yana Shcherban,Russian Federation,F,11/06/1989,185,71,No,0,0,0,0,Volleyball,1,Volleyball Women,20.74506939,Normal
27,Qiuyue Wei,China,F,11/26/1988,182,65,Yes,1,0,0,1,Volleyball,1,Volleyball Women,19.62323391,Normal
25,Brittney Griner,United States,F,10/18/1990,203,94,Yes,1,0,0,1,Basketball,1,Basketball Women,22.81055109,Normal
25,Justin Liu,Singapore,M,5/28/1991,167,78,No,0,0,0,0,Sailing,1,Sailing Nacra 17 Mixed,27.96801606,Overweight
24,Kiki Bertens,Netherlands,F,12/10/1991,182,78,No,0,0,0,0,Tennis,2,"Tennis Women's Singles
,Tennis Mixed Doubles",23.54788069,Normal
27,Genevieve Lacaze,Australia,F,8/04/1989,164,53,No,0,0,0,0,Athletics,2,"Athletics Women's 3000m Steeplechase
,Athletics Women's 5000m",19.70553242,Normal
21,Gonzalo Molina,Argentina,M,5/05/1995,178,83,No,0,0,0,0,Cycling,1,Cycling BMX Men,26.19618735,Overweight
21,Sarah Lahti,Sweden,F,2/18/1995,177,54,No,0,0,0,0,Athletics,1,"Athletics Women's 10,000m",17.23642631,Underweight
18,Crystal Brittany Weekes,Puerto Rico,F,1/14/1998,178,73,No,0,0,0,0,Taekwondo,1,Taekwondo Women +67kg,23.0400202,Normal
20,null,France,M,11/03/1995,189,85,Yes,0,1,0,1,Shooting,1,Shooting 25m Rapid Fire Pistol Men,23.79552644,Normal
30,Epke Zonderland,Netherlands,M,4/16/1986,173,69,No,0,0,0,0,Gymnastics,9,"Artistic Gymnastics Men
,Artistic Gymnastics Men's Floor Exercise
,Artistic Gymnastics Men's Vault
,Artistic Gymnastics Men's Parallel Bars
,Artistic Gymnastics Men's Horizontal Bar
,Artistic Gymnastics Men's Rings
,Artistic Gymnastics Men's Pommel Horse
,Artistic Gymnastics Men's Individual All-Around
,Artistic Gymnastics Men's Team",23.05456246,Normal
33,Lasse Svan,Denmark,M,8/31/1983,185,85,Yes,1,0,0,1,Handball,1,Handball Men,24.83564646,Normal
31,Bartlomiej Wojciech Bonk,Poland,M,10/11/1984,181,104,No,0,0,0,0,Weightlifting,1,Weightlifting Men's 105kg,31.74506273,Obese
25,Simona Baumrtova,Czech Republic,F,8/24/1991,176,66,No,0,0,0,0,Aquatics,4,"Swimming Women's 100m Backstroke
,Swimming Women's 200m Backstroke
,Swimming Women's 200m Individual Medley
,Swimming Women's 4 x 100m Medley Relay",21.30681818,Normal
24,Chen Gao,China,F,8/11/1992,170,58,No,0,0,0,0,Football,1,Football Women,20.06920415,Normal
29,null,Poland,F,12/13/1986,171,72,No,0,0,0,0,Canoe,1,Canoe Sprint Women's Kayak Single 500m,24.62296091,Normal
38,Viktoria Pavlovich,Belarus,F,5/08/1978,175,60,No,0,0,0,0,Table Tennis,1,Table Tennis Women's Singles,19.59183673,Normal
30,null,Republic of Moldova,F,6/28/1986,186,82,No,0,0,0,0,Athletics,1,Athletics Women's Hammer Throw,23.7021621,Normal
33,Rami Antero Hietaniemi,Finland,M,12/28/1982,180,92,No,0,0,0,0,Wrestling,1,Wrestling Men's Greco-Roman 85 kg,28.39506173,Overweight
18,Youssef Selim,Egypt,M,12/14/1997,165,88,No,0,0,0,0,Aquatics,1,Diving Men's 3m Springboard,32.32323232,Obese
23,Ryota Ohshima,Japan,M,1/23/1993,168,64,No,0,0,0,0,Football,1,Football Men,22.67573696,Normal
26,Junhua Yin,China,F,8/27/1990,167,,Yes,0,1,0,1,Boxing,1,Boxing Women's Light (57-60kg),,
26,Milena Raicevic,Montenegro,F,3/12/1990,177,71,No,0,0,0,0,Handball,1,Handball Women,22.66270867,Normal
31,null,Uzbekistan,M,6/02/1985,183,97,Yes,0,0,1,1,Wrestling,1,Wrestling Men's Freestyle 97 kg,28.96473469,Overweight
23,Nobukhosi Palma Ncube,Zimbabwe,F,2/17/1993,159,54,No,0,0,0,0,Football,1,Football Women,21.35991456,Normal
29,Corinna Kuhnle,Austria,F,7/04/1987,174,65,No,0,0,0,0,Canoe,1,Canoe Slalom Kayak (K1) Women,21.46915048,Normal
29,Megumi Iseda,Japan,F,6/30/1987,157,56,No,0,0,0,0,Sailing,1,Sailing RS:X Women,22.7189744,Normal
27,Zouhair Aouad,Bahrain,M,4/07/1989,175,69,No,0,0,0,0,Athletics,1,Athletics Men's 5000m,22.53061224,Normal
29,Irina Zabludina,Russian Federation,F,2/24/1987,160,57,No,0,0,0,0,Judo,1,Judo Women -57 kg,22.265625,Normal
33,Lynn Symansky,United States,F,3/19/1983,171,56,No,0,0,0,0,Equestrian,1,Equestrian Eventing Individual,19.15119182,Normal
28,Antoine Adams,Saint Kitts Nevis,M,8/31/1988,180,79,No,0,0,0,0,Athletics,3,"Athletics Men's 100m
,Athletics Men's 200m
,Athletics Men's 4 x 100m Relay",24.38271605,Normal
25,Olivier Beer,Switzerland,M,10/18/1990,180,69,No,0,0,0,0,Cycling,1,Cycling Track Men's Team Pursuit,21.2962963,Normal
24,Hafsatu Kamara,Sierra Leone,F,12/07/1991,,,No,0,0,0,0,Athletics,1,Athletics Women's 100m,,
30,Corina Caprioriu,Romania,F,7/18/1986,161,57,No,0,0,0,0,Judo,1,Judo Women -57 kg,21.98989237,Normal
28,Kurt Felix,Grenada,M,7/04/1988,182,76,No,0,0,0,0,Athletics,1,Athletics Men's Decathlon,22.94408888,Normal
18,Basten Caerts,Belgium,M,10/27/1997,185,85,No,0,0,0,0,Aquatics,1,Swimming Men's 200m Breaststroke,24.83564646,Normal
25,Lauren Doyle,United States,F,2/23/1991,168,68,No,0,0,0,0,Rugby Sevens,1,Rugby Sevens Women,24.09297052,Normal
20,Drita Islami,The Former Yugoslav Republic of Macedonia,F,8/01/1996,166,56,No,0,0,0,0,Athletics,1,Athletics Women's 400m Hurdles,20.32225287,Normal
24,Matthew Glaetzer,Australia,M,8/24/1992,190,86,No,0,0,0,0,Cycling,3,"Cycling Track Men's Sprint
,Cycling Track Men's Keirin
,Cycling Track Men's Team Sprint",23.82271468,Normal
31,Philipp Wende,Germany,M,7/04/1985,199,90,Yes,1,0,0,1,Rowing,1,Rowing Men's Quadruple Sculls,22.72669882,Normal
26,Lydia Jele,Botswana,F,6/22/1990,,,No,0,0,0,0,Athletics,1,Athletics Women's 400m,,
22,Monica Brennan,Australia,F,1/22/1994,175,58,No,0,0,0,0,Athletics,1,Athletics Women's 4 x 400m Relay,18.93877551,Normal
24,Ushangi Kokauri,Azerbaijan,M,1/10/1992,195,135,No,0,0,0,0,Judo,1,Judo Men +100 kg,35.50295858,Obese
25,Shiwen Liu,China,F,4/12/1991,160,54,Yes,1,0,0,1,Table Tennis,1,Table Tennis Women's Team,21.09375,Normal
30,Kai Qin,China,M,1/31/1986,170,65,Yes,0,0,1,1,Aquatics,1,Diving Men's Synchronised 3m Springboard,22.49134948,Normal
23,Ping Yao,China,F,3/19/1993,160,58,No,0,0,0,0,Cycling,1,Cycling Mountain Bike Women's Cross-country,22.65625,Normal
21,Gudrun Stock,Germany,F,5/23/1995,168,62,No,0,0,0,0,Cycling,2,"Cycling Track Women's Omnium
,Cycling Track Women's Team Pursuit",21.96712018,Normal
29,null,Netherlands,M,11/20/1987,182,78,No,0,0,0,0,Hockey,1,Hockey Men,23.54788069,Normal
27,Elizabeth Armitstead,Great Britain,F,12/18/1988,168,55,No,0,0,0,0,Cycling,1,Cycling Road Women's Road Race,19.48696145,Normal
23,Dominykas Jancionis,Lithuania,M,2/28/1993,192,95,No,0,0,0,0,Rowing,1,Rowing Men's Quadruple Sculls,25.77039931,Overweight
21,Maritza Poncio,Guatemala,F,12/03/1994,158,41,No,0,0,0,0,Athletics,1,Athletics Women's 20km Walk,16.42365006,Underweight
28,null,United States,F,8/03/1988,181,77,Yes,1,0,0,1,Rowing,1,Rowing Women's Eight,23.50355606,Normal
26,Arturo Chavez,Peru,M,1/12/1990,190,76,No,0,0,0,0,Athletics,1,Athletics Men's High Jump,21.05263158,Normal
26,Ning Ding,China,F,6/20/1990,171,63,Yes,2,0,0,2,Table Tennis,2,"Table Tennis Women's Singles
,Table Tennis Women's Team",21.5450908,Normal
33,Fiona Pennie,Great Britain,F,11/09/1982,169,70,No,0,0,0,0,Canoe,1,Canoe Slalom Kayak (K1) Women,24.50894577,Normal
25,Beatrice Chepkoech,Kenya,F,7/06/1991,170,54,No,0,0,0,0,Athletics,1,Athletics Women's 3000m Steeplechase,18.68512111,Normal
21,Helena Gasson,New Zealand,F,12/08/1994,172,76,No,0,0,0,0,Aquatics,2,"Swimming Women's 100m Butterfly
,Swimming Women's 200m Butterfly",25.68956193,Overweight
36,Oliver Marach,Austria,M,7/16/1980,184,84,No,0,0,0,0,Tennis,1,Tennis Men's Doubles,24.81096408,Normal
25,Josh Konieczny,United States,M,5/26/1991,181,74,No,0,0,0,0,Rowing,1,Rowing Lightweight Men's Double Sculls,22.58783309,Normal
37,Souad Ait Salem,Algeria,F,1/06/1979,158,50,No,0,0,0,0,Athletics,1,Athletics Women's Marathon,20.02884153,Normal
21,Jevaughn Minzie,Jamaica,M,7/20/1995,178,85,Yes,1,0,0,1,Athletics,2,"Athletics Men's 100m
,Athletics Men's 4 x 100m Relay",26.82742078,Overweight
31,Yoosun Nam,South Korea,F,7/23/1985,169,52,No,0,0,0,0,Aquatics,1,Swimming Women's 200m Individual Medley,18.20664543,Underweight
29,Catriel Andres Soto,Argentina,M,4/29/1987,175,68,No,0,0,0,0,Cycling,1,Cycling Mountain Bike Men's Cross-country,22.20408163,Normal
20,null,Puerto Rico,F,11/21/1996,180,73,No,0,0,0,0,Athletics,1,Athletics Women's 100m Hurdles,22.5308642,Normal
